,Sno,Hospital Name,Hospital Type,Hospital Address,Hospital E-Mail,Hospital Contact,Specialities Empanelled,Specialities Upgraded
2,93 ,GH THALASSERY,                                      Public                                    ,"                  GENERAL HOSPITAL THALASSERY,         KANNUR,         KERALA                           ",rsbythalassery@gmail.com,9847381334,"                                              M8,M1,M3,M2,M7,S16,S6,S10,S11,M5,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,M2,S3,S4,S5,S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,S6,S16,M4,M1,M7,M3,S12,M8                                                 "
3,94 ,KANNUR MEDICAL COLLEGE,                            Private (For Profit)                                              ,"                  ANJARAKANDY .P.O,         KANNUR,         KERALA                           ",kmchrsby@gmail.com,9400744242,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S6,S13,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
4,95 ,MEH KANNUR,                            Private (For Profit)                                              ,"                  thavakkara ,kannur,         KANNUR,         KERALA                           ",kannurmeh@gmail.com,9995936799,"                                                                            S5,S4,S3                                                              ",                                                             -NA-    
5,96 ,Pariyaram Medical College,                                      Public                                    ,"                  KCHC complex Pariyaram Medicqal College  PO Pariyaram,         KANNUR,         KERALA                           ",rsbypariyaram@gmail.com,9744114400,"                                              M8,M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,M6,S15,S9,S14,S13,S5,S4,S3,S2,S1                                                                                             ",                               M5                                                 
6,97 ,Taluk Hospital Iritty,                                      Public                                    ,"                  Taluk Hospital Iritty ,  Iritty P.O,         KANNUR,         KERALA                           ",mochciritty@gmail.com,9447944101,                                              -NA-                                                                                             ,                               M5                                                 
7,98 ,TALUK HOSPITAL KUTHUPARAMBA,                                      Public                                    ,"                  TALUK HOSPITAL KUTHUPARAMBA,         KANNUR,         KERALA                           ",ghkoothuparamba@gmail.com,9747575340,"                                              M2,M1,M7,S5,S4,S3,S2,S1                                                                                             ","                               M1,S7                                                 "
8,99 ,TALUK HOSPITAL PAYYANUR,                                      Public                                    ,"                  Annur road, payyannur,         KANNUR,         KERALA                           ",rsbythpayyanur@gmail.com,8943341416,"                                              S5,S4,S3                                                                                             ","                               S1,S2,S3,S4,S5,S14,S8,S9,S16,M1,M7,M2,S7,M8                                                 "
9,100 ,THQH Taliparamba,                                      Public                                    ,"                  Karimbam (po), taliparamba,         KANNUR,         KERALA                           ",thqhtpba@gmail.com,9447394922,"                                              M8,M1,M3,M2,M7,S16,S10,S11,S14,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,S5,S14,S8,S9,S16,M1,M7,M2,S7,M8                                                 "
0,101 ,"DISTRICT HOSPITAL ,KANNUR",                                      Public                                    ,"                  FORT ROAD ,KANNUR,         KANNUR,         KERALA                           ",rsbydhkannur@gmail.com,9072666186,"                                              M8,M1,M2,M7,S16,S10,S11,M5,S5,S4,S3,S2,S1                                                                                             ","                               S2,S8,S9,M5,S10,S11,S16,M3,S12,M1,M2,M8                                                 "
1,102 ,CHC PAPPINISSERY,                                      Public                                    ,"                            KANNUR,         KERALA                  ",phcpappin@gmail.com,8075893755,                                              S14                                                                                             ,"                               M1,M7,S4,M2                                                 "
2,103 ,TH PERAVOOR,                                      Public                                    ,"                            KANNUR,         KERALA                  ",sandeepkpb@gmail.com,9605656604,"                                              S4,S2,S1                                                                                             ","                               S14,S7,S1,S2,S4,S5,M1,M7,M2,S12                                                 "
3,104 ,CHC CHERUVATHUR,                                      Public                                    ,"                  COMMUNITY HEALTH CENTRE CHERUVATHUR  CHERUVATHUR PO  KASARAGOD 671313,         KASARAGOD,         KERALA                           ",drrameshdg@gmail.com,9447730617,"                                              M2,S16                                                                                             ","                               M1,M7                                                 "
4,105 ,COMMUNITY HEALTH CENTER PERIYE,                                      Public                                    ,"                  CHC PERIYE,PERIYA(PO)(VIA)BEKAL FORT,         KASARAGOD,         KERALA                           ",chcperiye@gmail.com,9447934012,                                              -NA-                                                                                             ,                               S16                                                 
5,106 ,DISTRICT  HOSPITAL KANHANGAD,                                      Public                                    ,"                  BALLA,         KASARAGOD,         KERALA                           ",knghospital@gmail.com,9645595129,                                              -NA-                                                                                             ,                               S2                                                 
6,107 ,GOVT GENERAL HOSPITAL KASARAGOD,                                      Public                                    ,"                  GENERAL HOSPITAL,         KASARAGOD,         KERALA                           ",ghksdrsby@gmail.com,9946100385,"                                              M8,M1,M2,M7,M6,S14,S5,S4,S3,S2,S1                                                                                             ",                               M5                                                 
7,108 ,TALUK HEADQUARTES HOSPITAL NILESHWAR,                                      Public                                    ,"                  VALLIKKUNNU, NILESHWAR,         KASARAGOD,         KERALA                           ",chcnileshwar@gmail.com,9526618102,                                              -NA-                                                                                             ,                               -NA-                                                 
8,109 ,TH PANATHADY,                                      Public                                    ,"                  TH PANATHADY,RAJAPURAM P.O,POODAMKALLU.,         KASARAGOD,         KERALA                           ",chcpanathady@gmail.com,9605191694,"                                              M2,M1,M7                                                                                             ",                               -NA-                                                 
9,110 ,TH Thrikaripur,                                      Public                                    ,"                  Community Health  Center Thankayam Thrikaripur(po),         KASARAGOD,         KERALA                           ",ththrikaripur@gmail.com,9388314766,                                              -NA-                                                                                             ,                               -NA-                                                 
0,111 ,"THEJASWINI CO-OP;HOSPITAL& MEDICAL RESEARCH CENTRE Ltd No.S.364, NILESHWAR",                            Private (For Profit)                                              ,"                  THEJASWINI CO-OP;HOSPITAL, NILESHWAR,KASARAGOD(DIST),PIN671314 PH: 04672285256,         KASARAGOD,         KERALA                           ",thejaswinicoophospital@gmail.com,9446052912,                                                                            -NA-                                                              ,"                                                             S1,S2,S4,S5,S14,S10,S11,M1,M7,M2    "
1,112 ,"Government Medical College Hospital, Manjeri",                                      Public                                    ,"                  Government Medical College Hospital Manjeri,Manjeri.P.O,Malappuram Dist,PIN 676121,         MALAPPURAM,         KERALA                           ",rsbymanjeri@gmail.com,9745648196,"                                              M8,M1,M2,S8,S12,M3,M7,M4,S16,S6,S10,S11,M5,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
2,113 ,ALMANARA EYE CARE HOSPITAL,                            Private (For Profit)                                              ,"                  Xxv/294 A(2), 294 A(7), TANUR ROAD,NEAR MUNICIPAL STADIUM, TIRUR, MALAPPURAM KERALA.,         MALAPPURAM,         KERALA                           ",kaspalmanaraa@gmail.com,9895029502,"                                                                            M1,M7,S3                                                              ",                                                             -NA-    
3,114 ,CHC TANUR,                                      Public                                    ,"                  CHC TANURTANUR (PO)MALAPPURAM,         MALAPPURAM,         KERALA                           ",mophctanur@gmail.com,8589961520,"                                              M2,M1,M7                                                                                             ",                               M2                                                 
4,115 ,THQH TIRURANGADI HOSPITAL,                                      Public                                    ,"                  THQH TIRURANGADI HOSPITAL,CHEMMAD TIRURANGADI PO 676306.,         MALAPPURAM,         KERALA                           ",thqhtirurangadi@gmail.com,9846215009,                                              -NA-                                                                                             ,"                               S2,S3,S4,S5,M1,M7,M8,S1                                                 "
5,116 ,COMMUNITY HEALTH CENTRE MELATTUR,                                      Public                                    ,"                  MELATTUR                                    MELATTUR.P.O,         MALAPPURAM,         KERALA                           ",drjameelack@gmail.com,9446885277,                                              -NA-                                                                                             ,"                               S2,S3,S4,S5,M1,M7,M8,S1                                                 "
6,117 ,Taluk Head Quarters Hospital Kondotty,                                      Public                                    ,"                  Taluk Head Quarters Hospital Kondotty, Kondotty (PO), Malappuram (Dt), 673638,         MALAPPURAM,         KERALA                           ",kondotty@gmail.com,9747211567,"                                              M1,M7                                                                                             ",                               -NA-                                                 
7,118 ,CHC Chungathara,                                      Public                                    ,"                  Community Health Centre, Chungathara,         MALAPPURAM,         KERALA                           ",mochcchungathara@gmail.com,9446248883,"                                              M1,S7,M7                                                                                             ",                               -NA-                                                 
8,119 ,CHC EDAPAL,                                      Public                                    ,"                  Edappal,         MALAPPURAM,         KERALA                           ",mochcedapal@gmail.com,9790105604,"                                              M1,M7,S4                                                                                             ",                               -NA-                                                 
9,120 ,CHC KALIKAVU,                                      Public                                    ,"                  CHC KALIKAVU,KALIKAVU,676525,         MALAPPURAM,         KERALA                           ",prolowandoor@gmail.com,8589009477,"                                              M1,M7                                                                                             ",                               -NA-                                                 
0,121 ,CHC PURATHUR,                                      Public                                    ,"                  Chc purathur,muttannur po,,         MALAPPURAM,         KERALA                           ",PROVETTOM@GMAIL.COM,9747211579,"                                              M1,M7                                                                                             ",                               NA                                                 
1,122 ,CHC EDAVANNA,                                      Public                                    ,"                  Community health centre, chembakuth,Edavanna P.O,         MALAPPURAM,         KERALA                           ",mochcedavanna@gmail.com,9605001264,"                                              M1,M7                                                                                             ",                               -NA-                                                 
2,123 ,DISTRICT HOSPITALNILAMBUR,                                      Public                                    ,"                  DISTRICT HOSPITALNILAMBUR,         MALAPPURAM,         KERALA                           ",rsbydhnbr@gmail.com,9447382388,                                              -NA-                                                                                             ,                               -NA-                                                 
3,124 ,"Taluk Hospital, Areekode",                                      Public                                    ,"                  Near Police Station, Areekode Post,         MALAPPURAM,         KERALA                           ",chcakd@gmail.com,9605001264,                                              -NA-                                                                                             ,"                               M1,M7                                                 "
4,125 ,"Taluk Head Quarters Hospital ,Malappuram",                                      Public                                    ,"                  Taluk Head Quarters Hospital Kottappadi Malappuram,         MALAPPURAM,         KERALA                           ",supdtthqhmpm@gmail.com,9495284911,"                                              M2,M1,M7,S5,S4,S3,S2,S1                                                                                             ","                               M5,S12,S10,S11,S8,S9,S14,S7,M1,M2,S15,M7,M3,S13,M6,S6,S16,M4                                                 "
5,126 ,GOV.DISTRICT HOSPITAL TIRUR,                                      Public                                    ,"                  GOV.DISTRICT HOSPITAL,CIVIL STATION ROAD,TRIKKANDIYUR (PO)TIRUR,         MALAPPURAM,         KERALA                           ",jcdrvinod@gmail.com,9656003026,"                                              M8,M1,M3,M2,M7,S16,M5,S5,S4,S3,S2,S1                                                                                             ","                               M5,S12,S10,S11,S8,S9,S14,S7,M1,M2,S15,M7,M3,S13,M6,S6,S16,M4                                                 "
6,127 ,CHC OMANUR,                                      Public                                    ,"                  CHC Omanur, Ponnad, Edavannapara,         MALAPPURAM,         KERALA                           ",prochcomanur@gmail.com,9747211569,"                                              M1,M7                                                                                             ",                               -NA-                                                 
7,128 ,TALUK HOSPITAL WANDOR,                                      Public                                    ,"                  Wandoor,         MALAPPURAM,         KERALA                           ",prolowandoor@gmail.com,8589009477,                                              -NA-                                                                                             ,"                               S4,M2                                                 "
8,129 ,DH PERINTHALMANNA,                                      Public                                    ,"                  GOV DH PERINTHALMANNA PERNITHALMANNA 679332,         MALAPPURAM,         KERALA                           ",thqhperinthalmanna@gmail.com,9447335723,"                                              M8,M1,M3,M2,M7,S16,M6,S5,S4,S3,S2,S1                                                                                             ","                               M5,S10,S11,M4,M1,M7                                                 "
9,130 ,THQH PONNANI,                                      Public                                    ,"                  PONNANI,         MALAPPURAM,         KERALA                           ",thqhponnanirsby@gmail.com,9946733742,                                              -NA-                                                                                             ,                               -NA-                                                 
0,131 ,DISTRICT HOSPITAL WADAKKANCHERY,                                      Public                                    ,"                  KUMARANELLOOR P O,         THRISSUR,         KERALA                           ",prowdky@gmail.com,9447673027,"                                              M2,M1,M7,S5,S4,S3,S2,S1                                                                                             ","                               M6,M5                                                 "
1,132 ,GENERAL HOSPITAL THRISSUR,                                      Public                                    ,"                  THRISSUR,         THRISSUR,         KERALA                           ",prodhtsr@gmail.com,9747117111,                                              -NA-                                                                                             ,"                               S1,S4,S3,S5,S14,S7,M5,M6,S10,S11,S6,M1,M7,M2,M3,M8,S2,S15                                                 "
2,133 ,MEDICAL COLLEGE CHEST HOSPITAL,                                      Public                                    ,"                  MEDICAL COLLEGE CHEST HOSPITAL, MULANGUNNATHUKAVU P.O,         THRISSUR,         KERALA                           ",promcch@gmail.com,9446890494,"                                              M1,M6,M5                                                                                             ","                               M5,M6,M1                                                 "
3,134 ,GOVT.MEDICAL COLLEGE HOSPITAL,                                      Public                                    ,"                  MEDICAL COLLEGE HOSPITAL, MULANGUNNATHUKAVU P.O,         THRISSUR,         KERALA                           ",pronmch@gmail.com,9605373588,"                                              M8,M1,M2,S8,S7,S12,M3,M7,M4,S16,S6,S10,S11,S15,S9,S14,S5,S4,S3,S2,S1                                                                                             ",                               S13                                                 
4,135 ,THQH CHALAKUDY,                                      Public                                    ,"                  POLICE STATION ROAD, CHALAKUDY P.O,CHALAKUDY,         THRISSUR,         KERALA                           ",prockdy@gmail.com,9846444945,"                                              S5,S4,S3                                                                                             ","                               S1,S2,S3,M1,M7,S4,S5,S14,S7,S10,S11,S6,S16,M2,M3,S12,M8,S13,S8,S9,M4                                                 "
5,136 ,THQH CHAVAKKAD,                                      Public                                    ,"                  THQH CHAVAKKAD, NEAR KOZHIKULANKARA TEMPLE , CHAVAKKAD,         THRISSUR,         KERALA                           ",rsbychavakkad@gmail.com,9744887711,"                                              M3,M2,M1,M7,S16,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,M1,M7,S4,S5,S14,S7,S10,S11,S6,S16,M2,M3,S12,M8,S13,S8,S9,M4                                                 "
6,137 ,THQH KODUNGALLUR,                                      Public                                    ,"                  THQH KODUNGALLUR, KODUNGALLUR,         THRISSUR,         KERALA                           ",prokdlr@gmail.com,9846361902,"                                              M1,M3,M2,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               M5                                                 
7,138 ,TALUK HOSPITAL KUNNAMKULAM,                                      Public                                    ,"                  NEAR POLICE STATION KUNNAMKULAM,         THRISSUR,         KERALA                           ",talukhospitalkkm@gmail.com,9847513374,"                                              M1,S7,M3,M2,M7,S16,S14,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
8,139 ,Taluk hospital pudukad,                                      Public                                    ,"                  Pudukkad,         THRISSUR,         KERALA                           ",bacpudukkad@gmail.com,8281605306,"                                              M2,S5,S4,S3                                                                                             ","                               S4,M1,M7,M2                                                 "
9,140 ,GENERAL HOSPITAL IRINJALAKUDA,                                      Public                                    ,"                  RAILWAY STATION ROAD NEAR TANA JUNCTION,         THRISSUR,         KERALA                           ",thqhijk@gmail.com,9495169085,"                                              S5,S4,S3                                                                                             ","                               S1,S3,S4,S5,S16,M1,M7,M2,M8,S2,M5                                                 "
0,141 ,AMARDEEP EYE CARE,                            Private (For Profit)                                              ,"                  OPPOSITE POLICE STATION PEROORKADA.P.O,         THIRUVANANTHAPURAM,         KERALA                           ",amardeepeye@yahoo.com,9447195795,"                                                                            S5,S3                                                              ",                                                             NA    
1,142 ,Janaki Hospital,                            Private (For Profit)                                              ,"                  Chekkalavilakam kadakkavoor,         THIRUVANANTHAPURAM,         KERALA                           ",abc@abc.com,9999999999,                                                                            -NA-                                                              ,                                                             NA    
2,143 ,PULSE MEDICARE HOSPITAL,                            Private (For Profit)                                              ,"                            THIRUVANANTHAPURAM,         KERALA                  ",pulsemedicarehospital@gmail.com,9447712372,"                                                                            M2,M1,M7,S16,S6,S5,S4,S3,S2,S1                                                              ",                                                             NA    
3,144 ,SNEHA HOSPITAL,                            Private (For Profit)                                              ,"                  Sneha Hospital, Kodinada, Balaramapuram,         THIRUVANANTHAPURAM,         KERALA                           ",snehahospitalblpm1@gmail.com,9995322216,"                                                                            M1,M7,S5,S4,S3                                                              ",                                                             -NA-    
4,145 ,TH ATTINGAL,                                      Public                                    ,"                  TH ATTINGAL,         THIRUVANANTHAPURAM,         KERALA                           ",abc@abc.com,9446466368,"                                              S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,S5,S16,M1,M7,M2                                                 "
5,146 ,CHC VILAPPIL,                                      Public                                    ,"                  The Medical Officer in Charge CHC Vilappil Vilappilsala,         THIRUVANANTHAPURAM,         KERALA                           ",prolochcvilappil@gmail.com,9747211413,"                                              S5,S4,S3                                                                                             ","                               M1,M7                                                 "
6,147 ,"Taluk Head Quarters Hospital, Chirayinkeezhu",                                      Public                                    ,"                  Taluk Head Quarters Hospital, Chirayinkeezhu,         THIRUVANANTHAPURAM,         KERALA                           ",thqhckl@gmail.com,9446309282,"                                              M8,M1,M3,M2,M7,S5,S4,S3,S2,S1                                                                                             ","                               S1,S2,S3,S4,M1,M7,M2,M8                                                 "
7,148 ,DISTRICT MODEL HOSPITAL PPEROORKADA,                                      Public                                    ,"                  District Model Hospital,Peroorkada P O,Thiruvananthapuram,Pin -695005,         THIRUVANANTHAPURAM,         KERALA                           ",dmhperoorkada@gmail.com,9846538700,"                                              M1,M3,M2,M7,S16,S5,S4,S3,S2                                                                                             ",                               S1                                                 
8,149 ,TH Fort,                                      Public                                    ,"                  Taluk Hospital Fort,Fort P O Trivandrum,         THIRUVANANTHAPURAM,         KERALA                           ",thforttvm@gmail.com,9048948150,"                                              M1,M2,M7,S4,S1                                                                                             ",                               -NA-                                                 
9,150 ,CHC KALLARA,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",prolochckallara@gmail.com,9061508242,"                                              M1,M7                                                                                             ",                               -NA-                                                 
0,151 ,CHC KANYAKULANGARA,                                      Public                                    ,"                  KANYAKULANGARA PO,TRIVANDRUM,         THIRUVANANTHAPURAM,         KERALA                           ",chckanyakulangara1@gmail.com,9747211432,                                              -NA-                                                                                             ,                               -NA-                                                 
1,152 ,CHC Kesavapuram,                                      Public                                    ,"                  community health centre kesavapuram,         THIRUVANANTHAPURAM,         KERALA                           ",chcksvpm@gmail.com,8848891400,                                              -NA-                                                                                             ,                               -NA-                                                 
2,153 ,THQH Malayinkil,                                      Public                                    ,"                  Taluk Headquarters Hospital, Maniyaravila, Malayinkeezhu P O,         THIRUVANANTHAPURAM,         KERALA                           ",thmkyl@gmail.com,9847669095,"                                              M1,M7,S16                                                                                             ",                               -NA-                                                 
3,154 ,Medical college Thiruvanthapuram,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",,                                      -NA-                  ,"                                              M8,M3,M2,M4,S4,S3,M1,S8,S7,S12,M7,S16,S6,S10,S11,M6,M5,S15,S9,S14,S13,S5,S2,S1                                                                                             ","                               M8,S1,S2,S3,S5,S13,S14,S7,S8,S9,S15,M5,M6,S10,S11,S6,S16,M4,M1,M7,M3,S12,M2                                                 "
4,155 ,"District Hospital, Nedumangad",                                      Public                                    ,"                  District Hospital, Nedumangad, Nedumangad P.O., Thiruvananthapuram-695541,         THIRUVANANTHAPURAM,         KERALA                           ",thqhndd@gmail.com,9895492742,"                                              M1,M2,M7,S16,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
5,156 ,TH Nemom,                                      Public                                    ,"                  Taluk Hospital, Santhivila, Nemom P O,         THIRUVANANTHAPURAM,         KERALA                           ",chcnemom@gmail.com,9447211605,"                                              M1,M7,S3                                                                                             ",                               -NA-                                                 
6,157 ,CHC POOVAR,                                      Public                                    ,"                  Hospital Jn Poovar 695525,         THIRUVANANTHAPURAM,         KERALA                           ",prolochcpoovar@gmail.com,9747211419,                                              -NA-                                                                                             ,                               -NA-                                                 
7,158 ,Taluk Hospital Varkala,                                      Public                                    ,"                  Taluk Hospital Varkala,         THIRUVANANTHAPURAM,         KERALA                           ",prothvarkala@gmail.com,9995397487,"                                              M2,M1,M7,S5,S4,S3,S2,S1                                                                                             ",                               -NA-                                                 
8,159 ,Community health centre venpakal,                                      Public                                    ,"                            THIRUVANANTHAPURAM,         KERALA                  ",abc@abc.com,9999999999,                                              -NA-                                                                                             ,                               -NA-                                                 
9,160 ,TH VITHURA,                                      Public                                    ,"                  TALUK HOSPITAL VITHURA,         THIRUVANANTHAPURAM,         KERALA                           ",prolothvithura@gmail.com,9544200430,"                                              M2,M1,M7,S4,S3                                                                                             ",                               -NA-                                                 
0,161 ,"Community Health Centre, Vizhinjam, Thiruvananthapuram",                                      Public                                    ,"                  Community Health Centre, Vizhinjam, Thiruvananthapuram,         THIRUVANANTHAPURAM,         KERALA                           ",rsbychcvizhinjam@gmail.com,9447656953,                                              -NA-                                                                                             ,                               -NA-                                                 
1,162 ,"W&C Hospital,Thycaud",                                      Public                                    ,"                  W&C Hospital,Thycaud ,Thiruvananthapuram,         THIRUVANANTHAPURAM,         KERALA                           ",wchthycaud@gmail.com,9447021079,                                              -NA-                                                                                             ,                               -NA-                                                 
2,163 ,DEEPA HOSPITAL KARUVATTA,                            Private (For Profit)                                              ,"                  Deepa Hospital, Karuvatta po  ,karuvatta,         ALAPPUZHA,         KERALA                           ",deepahospital73@gmail.com,9495242134,"                                                                            M1,M2,S8,S12,M7,S7,S5,S4,S2,S1                                                              ",                                                             -NA-    
3,164 ,DEEPA HOSPITAL DANAPADY,                            Private (For Profit)                                              ,"                  DEEPA HOSPITAL DANAPADY,         ALAPPUZHA,         KERALA                           ",n_ramesh15@yahoo.com,9446117454,"                                                                            M1,S12,M2,M7,S16,S6                                                              ","                                                             S1,S4    "
4,165 ,"Dr Oommen's Eye Hospital & Micro-surgery Centre,Chengannur",                            Private (For Profit)                                              ,"                  Thamarasseril Building Temple Road Chengannur 689 121,         ALAPPUZHA,         KERALA                           ",drommenvarghese@gmail.com,9745534433,                                                                            S3                                                              ,                                                             S3    
5,166 ,St.Thomas Mission Hospital,                            Private (For Profit)                                              ,"                  St.Thomas Mission Hospital,Pallickal P.O,Kattanam,         ALAPPUZHA,         KERALA                           ",revkottanad@yahoo.co.in,9447431206,"                                                                            M8,M1,M2,S8,S7,S12,M7,S16,S13,S5,S4,S3,S2,S1                                                              ",                                                             M3    
6,167 ,"MEDICAL TRUST HOSPITAL, KAYAMKULAM",                            Private (For Profit)                                              ,"                  KPAC. JUNCTION, KALLUMOODU, KAYAMKULAM, ALAPPUZHA, KERALA,         ALAPPUZHA,         KERALA                           ",medicaltrustkylm@gmail.com,9447363354,"                                                                            M2,S4                                                              ",                                                             M3    
7,168 ,Sagara Hospital Punnapra,                            Private (For Profit)                                              ,"                  Vadackal Po Punnapra,         ALAPPUZHA,         KERALA                           ",pnajith13@gmail.com,9447104033,"                                                                            S13,S5,S4,S2,S1,M8,M1,M2,S8,S7,S12,M7,S16                                                              ",                                                             S14    
8,169 ,St.Thomas Hospital Pallippuram,                            Private (For Profit)                                              ,"                  chennamPallipuram, Cherthalala,         ALAPPUZHA,         KERALA                           ",st.thomashospital@ymail.com,8281347810,"                                                                            M8,M2,M1,M7,S16,S2                                                              ",                                                             -NA-    
9,170 ,CENTURY Hospital,                            Private (For Profit)                                              ,"                  MULAKUZHA,CHENGANNUR,         ALAPPUZHA,         KERALA                           ",ctshlrsby@gamil.com,9947992820,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
0,171 ,Josco Multi-Speciality Hospital,                            Private (For Profit)                                              ,"                  Josco Jn.,Iranikudy Post,Mavelikara,Alappuzha Dist,         ALAPPUZHA,         KERALA                           ",joscohospital@yahoo.com,9447764870,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S16,S6,S10,S11,S15,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
1,172 ,Poochakkal Medical Centre,                            Private (For Profit)                                              ,"                  POOCHAKKAL P O,CHERTHALA,         ALAPPUZHA,         KERALA                           ",satharaccounts@gmail.com,9633059414,"                                                                            M8,M1,S12,M2,M7,S5,S4,S3,S2,S1                                                              ",                                                             -NA-    
3,174 ,CHRISTOS HOSPITAL,                            Private (For Profit)                                              ,"                  KPAC junction, Kayamkulam,         ALAPPUZHA,         KERALA                           ",christoshospital@gmail.com,9895007518,                                                                            S4                                                              ,                                                             -NA-    
4,175 ,SUSRUTA EYE HOSPITAL,                            Private (For Profit)                                              ,"                  70 MAVELIPURAM KAKKANAD,         ERNAKULAM,         KERALA                           ",susrutaeyehospitalkakkanad@gmail.com,8281259536,                                                                            S3                                                              ,                                                             S3    
5,176 ,SREYASS NURSING HOME,                            Private (For Profit)                                              ,"                  Edavanakad,         ERNAKULAM,         KERALA                           ",sreyashospital@gmail.com,9446976971,"                                                                            M1,S7,M2,M7,S16,S14,S5,S4,S2,S1                                                              ",                                                             -NA-    
6,177 ,Sreenarayana Institute Of Medical Sciences,                            Private (For Profit)                                              ,"                  CHALAKKA, NORTH KUTHIYATHODE (PO)ERNAKULAM,         ERNAKULAM,         KERALA                           ",rsby@snims.org,9645780548,"                                                                            M8,M1,M2,S8,S7,S12,M3,M7,S6,S14,S5,S4,S3,S2,S1                                                              ",                                                             S16    
7,178 ,Lotus Eye Hospital & Institute,                            Private (For Profit)                                              ,"                  533/33A-33F ,Tejas Tower, Kadavanthara ,Kochi - 682020,         ERNAKULAM,         KERALA                           ",insurancelotus@gmail.com,7708111011,                                                                            S3                                                              ,                                                             S16    
8,179 ,KOCHI EYE CARE CENTER,                            Private (For Profit)                                              ,"                  KOCHI EYE CARE CENTER OPPOSITE U C COLLEGE ALUVA,         ERNAKULAM,         KERALA                           ",info@kochieyecare.com,9400423702,                                                                            S3                                                              ,                                                             -NA-    
9,180 ,Dr.Tony FernandezEye Hospital,                            Private (For Profit)                                              ,"                  Opp.Govt.H.S.S High Road Aluva,         ERNAKULAM,         KERALA                           ",stfmedicare@gmail.com,9995611363,                                                                            S3                                                              ,                                                             -NA-    
