STATE	DISTRICT	HOSPITAL TYPE	CODE	HOSPITAL NAME	SPECIALITY	ADDRESSS	CONTACT NO	HOSPITAL IMAGE	AVAILABLE INSURANCE	SPECIFIC FOR 																
TAMIL NADU	VILLUPURAM	PRIVATE	2549	SUMATHY HOSPITAL	"Sumathy Hospital One Of the Distinguished Multi Super- Specialty Hospitals in Villupuram District. Providing Comprehensive Medical Care in Areas Of Ortho Pedics, Nephrology, Gynecology, General Surgery, Gastro Enterology, Urology, Paediatriecs, Diabetics. Established Is 1976.                                                                                                                                                                                                                                                                                       Our Services
BONE & JOINT CARE :
Total knee replacement surgery.
Arthroscopy
NEPHRO & URO CARE:
Congenital disorders.
Renal stone disease.
Urological cancers.
Urinary problems in paediatric and adult patients.
CHILD CARE :
Birthing Again – Refreshing.
Birth Fears Workshop.
Labour Support.
Breast Feeding / Lactation.
Postnatal shape up class.
Birth control
WOMEN CARE :
Inspired by a core belief that a women is a very special person, in body and mind, and that the best healthcare for her emerges from a deep understanding of her physiology, emotions, aspirations and anxieties, the department aims to be her health comfort zone. The centre is committed to providing world- class healthcare for women.
Adolescent Gynaecology.
Cancer Prevention & Management.
High Risk Pregnancy.
Menopause & its management.
Painless Labour.
Contraceptive Couselling.
Uro- gynaecology.
Laparoscopic & Hysteroscopy Surgeries.
Hysterctomy (Abdominal / Vaginal/Laparoscopic).
Ovarian Cystectomy.
HEALTH CHECKUP:
Basic Health Screening.
Executive Health Check up.
Whole Body Check Up.
Well Women Check Up.
PACKAGE:
Well Women Check Up and Pre-Employment Health Check Up require 12-hour fasting. Please do not have milk/ tea/ coffee in the morning before the tests.
For people undergoing programmers other than well women check-up and pre employment Health Check-up.
Men should shave their chest for TMT / ECG.
Pregnant women should not undergo chest X-Ray.
CRITICAL CARE MEDICINE:
The Department of Critical Care Medicine offers treatment procedure that manages the medical and surgical intensive care programs. Our mission is to offer not just cost effective but also quality clinical service, to ensure a better life. Patients from different specialties such as cardiology, neurology, vascular surgery and urology receive treatment here.
EMERGENCY MEDICINE:
The Emergency medicine Department plays a primary role in the hospitals healthcare system. In the event of emergencies, we deploy our team of doctors, emergency resuscitation units, anesthesiologists and qualified surgeons to facilitate treatment in the shortest possible amount of time. Our primary goal is to reduce mortal risks and ensure the sustainability of life for continued medical treatments.
FOETAL MEDICINE:
The Foetal Medicine Department at helps in making the birthing experience of mothers stress free and memorable. We are equipped with imaging techniques that accurately diagnose possible birth defects in babies prenatally. Our experts also help in planning the route and times of delivery.
GENERAL MEDICINE:
The general Medicine Department at focuses on providing preventive health care to reduce the chances of the patient being afflicted by any illness. Our healthcare team is composed of Board Certified physicians of internal medicine, geriatrics and pediatrics, nursing practitioners, pharmacists, registered nurses, medical assistants, and skilled support staff.
The General medicine department provides comprehensive primary care services to adults along with providing care to hospitalized patients suffering from a broad range of ailments. The department is well equipped to manage chronic health conditions such as diabetes and heart disease, treat acute illness like respiratory and joint pain.
GENERAL AND MINIMAL ACCESS SURGERY
At the Department of General and Minimal Access Surgery, our patients receive highly specialized assessments, newest treatments- including clinical trials for new medications, and coordinated follow-up for their care.
Our team of surgical specialists have the expertise to carry out the surgeries involving abdomen, skin, breast, soft tissues, or endocrine system, which includes the esophagus, stomach, small bowel, colon, pancreas, gallbladder, and bile ducts, among other organs. Our general surgeons hold advanced fellowship training in colon and rectal surgery, minimally invasive gastrointestinal surgery, surgical critical care, trauma and acute care, emergency general surgery, and bariatric surgery. We are also recognized for outstanding clinical post-operative care, research, and innovation.
HEMATOLOGY:
The Hematology department has an expert team for diagnosis and treatment of blood diseases. Our hematology evaluate and treat patients with various conditions such as anemia, increased or reduced white cells, increased or decreased platelets, enlarged lymph nodes or spleen, bleeding and clotting disorders. The department experts also treat blood cancer, including conditions of leukemia, lymphoma, multiple myeloma and other disorders.
MEDICAL ONCOLOGY:
The oncology programme at is focused on the research and treatment of cancers afflicting both infants, adults, and children as well. We provide the latest in chemotherapy and post treatment recovery modules, offering treatment for leukemia as well sarcoma.
PHYSIOTHERAPY AND REHABILITATION:
The physiotherapy department is responsible for providing pre and post operative physiotherapeutic intervention to out-patients and in-patients. The team also provides highly specialized physical rehabilitation progremmes for patients with disabilities arising from age related illnesses. We have a comprehensively equipped fitness centre available for exercise and rehabilitation of our patients.
PREVENTIVE CARE :
Our integrated preventive care centre comprises a comprehensive care under one roof. Our constant Endeavour lies in early detection of functional and physiological disabilities in patients with primary and secondary prevention in place."	"#39, Mampazhapattu Road, Villupuram - 605 602
"	"04146- 223217, 224900, 223400"	https://drive.google.com/file/d/1yBF1QDY0pZII3Ak53gcm6XAU-ew6QOxZ/view?usp=sharing	"Chief Minister’s Comprehensive Health Insurance Scheme
Star Health Private insurance schemes
Vipul Med Corp Insurance Scheme"																	
TAMIL NADU	VILLUPURAM	PRIVATE		DURAI GASTRO CARE HOSPITAL	"Durai Gastro Care Hospital, we seek to provide the highest level of care through our highly skilled gastro care professionals and state of the art technologies. We are devoted to addressing the individual needs and demands of patients in a warm and caring environment.

Durai Gastro Care Hospital is a Super Speciality General and Laparascopic Surgery hospital in Villupuram. We are the first and most advanced Laparoscopic Surgery and Research Centre in Villupuram ."	"Narayanan Nagar Road, Highways Nagar, K K Nagar,

Opp to District Collector Office, Near Bus Stand

Puntottam, Tamil Nadu 605602"	Mobile : +91 9443723677	https://drive.google.com/file/d/1taoZVdWt9ulRCgWirC7q4zPMjq0NsYe9/view?usp=sharing	https://drive.google.com/file/d/1X8MoA-8LRkGSY6lZZeFvsom9cin6NscD/view?usp=sharing																	
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
